DATE DE CLASSEMENT;DATE DE PUBLICATION DE L'ETABLISSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION;NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;TÉLÉPHONE;COURRIEL;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION;NOMBRE DE LOGEMENTS
41313;41313;RÉSIDENCE DE TOURISME;2 étoiles;-;-;SÉJOURS ET AFFAIRES APPARTHOTEL LILLE EUROPE;271 Avenue Willy Brandt;59777;LILLE;153234402;gabrielle.destombes@reside-etudes.fr;www.sejours-affaires.com;-;354;-;-;113;-
41099;41099;HÔTEL;3 étoiles;-;-;HÔTEL LILLE EUROPE;AVENUE LE CORBUSIER;59777;LILLE;328367676;maryse.felix@wanadoo.fr;http://hotel-lille-europe.com;-;194;97;-;-;-
40861;40861;HÔTEL;4 étoiles;-;-;CROWNE PLAZA;335 BOULEVARD DE LEEDS;59777;EURALILLE;320424640;manager@lille-crowneplaza.com;http://www.lille-crowneplaza.com;-;909;121;-;-;-
41687;41687;HÔTEL;2 étoiles;-;-;HÔTEL B&B VALENCIENNES;Rue de Sologne;59770;MARLY;892702208;bb_4516@hotelbb.com;www.hotelbb.com;-;191;83;-;-;-
42020;42020;HÔTEL;1 étoile;-;-;HÔTEL IBIS BUDGET DUNKERQUE GRANDE-SYNTHE;1 RUE DE LA PORTE DE LILLE, ZAC DE COURGHAIN;59760;GRANDE-SYNTHE;892683163;h2545@accor.com;www.ibisbudget.com;-;115;43;-;-;-
41596;41596;HÔTEL;2 étoiles;-;-;FASTHOTEL DUNKERQUE;3 Rue de la Porte de Lille;59760;GRANDE-SYNTHE;328211776;dunkerque@fasthotel.com;http://fasthotel.com/profil/name/Dunkerque;-;118;59;-;-;-
41162;41162;HÔTEL;2 étoiles;-;-;BEST HOTEL DUNKERQUE GRANDE-SYNTHE;6 Rue du 8 mai 1945;59760;GRANDE-SYNTHE;328274669;dunkerque@besthotel.fr;http://www.besthotel.fr;-;150;45;-;-;-
41148;41148;HÔTEL;2 étoiles;-;-;DUNE HÔTEL;8 Rue du 8 Mai 1945;59760;GRANDE-SYNTHE;328215858;contact@dunehotel.fr;http://www.dunehotel.fr;-;98;44;-;-;-
41113;41113;HÔTEL;1 étoile;-;-;HOTEL F1 DUNKERQUE GRANDE-SYNTHE;rue du 8 mai 1945;59760;GRANDE-SYNTHE;891705239;h2465-re@accor.com;http://hotelf1.com;-;178;63;-;-;-
41513;41513;HÔTEL;2 étoiles;-;-;HÔTEL PREMIÈRE CLASSE MAUBEUGE FEIGNIES;126 ROUTE DE VALENCIENNES;59750;FEIGNIES;327667204;manager.maubeuge@premiereclasse.fr;http://www.premiereclasse.com;-;190;72;-;-;-
41103;41103;CAMPING;2 étoiles;Loisirs;-;CAMPING NATURA;1395 Rue de Sivry;59740;BEAURIEUX;327605177;camping.natura@neuf.fr;-;-;-;-;100;-;-
41054;41304;HÔTEL;3 étoiles;-;-;CHÂTEAU DE LA MOTTE;16 RUE DE LA MOTTE;59740;LIESSIES;327618194;contact@chateaudelamotte.fr;http://chateaudelamotte.fr;-;20;10;-;-;-
42468;42468;HÔTEL;2 étoiles;-;-;HÔTEL B&B MAUBEUGE LOUVROIL;48 rue de l'espérance;59720;LOUVROIL;327580504;bb_4559@hotelbb.com;http://www.hotel-bb.com/fr/hotels/maubeuge-louvroil.htm;-;219;82;-;-;-
41113;41113;CAMPING;1 étoile;Loisirs;-;CAMPING LES ÉTANGS DE LA SABLIÈRE;245 RUE du Général LECLERC;59710;MÉRIGNIES;664512828;camping.lasabliere@wanadoo.fr;-;-;-;-;25;-;-
42142;42142;HÔTEL;4 étoiles;-;-;HÔTEL MERCURE LILLE METROPOLE;157 avenue de la Marne;59700;MARCQ-EN-BARŒUL;328331212;H1099-GM@accor.com;http://www.mercure-lille-metropole.com;-;250;125;-;-;-
42135;42135;HÔTEL;3 étoiles;-;-;HÔTEL DU CROISÉ;191 rue de la Rianderie;59700;MARCQ-EN-BARŒUL;320722563;contacthotelcroise@orange.fr;www.hotelducroise.com;-;23;11;-;-;-
41128;41128;HÔTEL;2 étoiles;-;-;IBIS BUDGET LILLE MARCQ EN BAROEUL;340 AVENUE DE LA MARNE;59700;MARCQ-EN-BAROEUL;320724911;HA3NA@accor.com;http://www.ibis.com;-;135;63;-;-;-
40990;40998;HÔTEL;3 étoiles;-;-;IBIS STYLE LILLE MARC-EN-BAROEUL;Parc Europe 340 Avenue de la Marne;59700;MARCQ-EN-BARŒUL;320892323;H9084@accor.com;http://ibisstyleshotel.ibis.com/;-;415;95;-;-;-
41432;41432;CAMPING;2 étoiles;Loisirs;-;CAMPING LA HOUBLONNIÈRE;1345 route de Bray Dunes;59670;WINNEZEELE;328409306;la.houblonniere@orange.fr;-;-;-;-;80;-;-
41375;41375;HÔTEL;3 étoiles;-;-;HOTEL B&B LILLE STADE PIERRE MAUROY;Boulevard de Tournai;59650;VILLENEUVE-D'ASCQ;892702548;bb_4539@hotelbb.com;http://www.hotel-bb.com;-;211;99;-;-;-
41351;41351;HÔTEL;4 étoiles;-;-;PARK INN BY RADISSON LILLE GRAND STADE;211 BOULEVARD DE TOURNAI;59650;VILLENEUVE-D'ASCQ;33320644000;RESERVATIONS.LILLE@REZIDORPARKINN.COM;http://www.parkinn.com/hotel-lille;-;254;127;-;-;-
41240;41240;HÔTEL;3 étoiles;-;-;HÔTEL MORPHÉE;35 rue de la Cousinerie;59650;VILLENEUVE-D'ASCQ;320471718;b.mullet@hotel-morphee.com;http://www.hotel-morphee.com;-;137;68;-;-;-
41200;41200;RÉSIDENCE DE TOURISME;3 étoiles;-;-;OLIVARIUS APART'HÔTEL;6 Avenue Halley;59650;VILLENEUVE D'ASCQ;359353635;welcome@olivarius.com;www.olivarius-lille.com;-;544;-;-;114;-
41128;41128;HÔTEL;3 étoiles;-;-;HÔTEL KYRIAD LILLE EST VILLENEUVE-D'ASCQ;15 allée de la Créativité;59650;VILLENEUVE-D'ASCQ;03.20.47.46.46;lille.vda@kyriad.fr;-;-;186;84;-;-;-
41100;41100;HÔTEL;2 étoiles;-;-;HOTEL STARS;7 rue entre-deux-villes;59650;VILLENEUVE-D'ASCQ;320670720;stars-lille@jjwhotels.com;http://lille.starshotels.com/;-;76;38;-;-;-
41050;41050;HÔTEL;3 étoiles;-;-;ASCOTEL LILLE MÉTROPOLE;7 Avenue Paul Langevin;59650;VILLENEUVE D'ASCQ;320673434;complexe@ascotel.fr;http://hotel-ascotel.com;-;183;83;-;-;-
40921;40921;HÔTEL;3 étoiles;-;-;CAMPANILE VILLENEUVE D'ASCQ;48 AVENUE DE CANTELEU;59650;VILLENEUVE D'ASCQ;320918310;manager.lille.villeneuvedascq@campanile.fr;http://www.campanile.fr;-;98;49;-;-;-
40920;40920;HÔTEL;3 étoiles;-;-;HOTEL IBIS LILLE VILLENEUVE D'ASCQ;RUE DU VERCORS;59650;VILLENEUVE D'ASCQ;320918150;H0614-GM@accor.com;http://www.ibishotel.com/fr/home/index.shtml;-;260;80;-;-;-
40917;40917;HÔTEL;2 étoiles;-;-;IBIS BUDGET VILLENEUVE D'ASCQ;9 BOULEVARD DE MONS;59650;VILLENEUVE-D'ASCQ;892700386;h5085-RE@accor.com;http://ibisbudgethotel.ibis.com/;-;225;76;-;-;-
40914;40914;HÔTEL;1 étoile;-;-;HOTELF1 LILLE - VILLENEUVE D'ASCQ;3 boulevard de Mons;59650;VILLENEUVE D'ASCQ;891705428;H2299-RE@accor.com;http://www.accorhotels.com/fr/hotel-2299-formule-1-hotelf1-lille-villeneuve-d-ascq/index.shtml;-;220;80;-;-;-
41765;41765;HÔTEL;2 étoiles;-;-;HÔTEL AUX TROIS ARCADES;55 Avenue Anthony Caro;59630;BOURBOURG;03 28 22 21 30;aux3arcades@orange.fr;http://www.aux3arcades.com/;-;24;12;-;-;-
41270;41270;CAMPING;3 étoiles;Loisirs;-;LES PRAIRIES DE LA COLME;635 CHEMIN DU VLIET;59630;LOOBERGHE;328220088;camping.lesprairiesdelacolme@gmail.com;-;-;-;-;62;-;-
41218;41218;CAMPING;2 étoiles;Loisirs;-;CAMPING LA ROSE DES VENTS;600 rue du Jeu;59630;LOOBERGHE;03.28.29.85.00;marc.verschelde@free.fr;-;-;-;-;28;-;-
41218;41218;CAMPING;2 étoiles;Loisirs;-;CAMPING DE LA COLME;45 Bis Route de Watten;59630;LOOBERGHE;328298559;colmecamping@wanadoo.fr;-;-;-;-;58;-;-
42652;42652;HÔTEL;3 étoiles;-;-;CHÂTEAU DE LA MARLIÈRE;62-64 rue Théophile Legrand;59610;FOURMIES;327588800;infos@chateaudelamarliere.com;www.chateaudelamarliere.com;-;18;9;-;-;-
41246;41246;CAMPING;3 étoiles;Loisirs;-;CAMPING LES ÉTANGS DES MOINES;100 rue des étangs;59610;FOURMIES;327600432;maxence.lefebvre@copalia.fr;http://www.etangs-des-moines.fr;-;-;-;106;-;-
41101;41101;HÔTEL;3 étoiles;-;-;HÔTEL IBIS;RUE DES ETANGS DES MOINES;59610;FOURMIES;327602154;H0707@ACCOR.COM;http://www.ibishotel.com/fr/hotel-0707-ibis-fourmies/index.shtml;-;99;31;-;-;-
42587;42587;HÔTEL;3 étoiles;-;-;LE GRAND HÔTEL;1 Porte de Paris;59600;MAUBEUGE;327626687;contact@grand-hotel-maubeuge.fr;https://www.grand-hotel-maubeuge.fr/;-;64;28;-;-;-
42467;42467;HÔTEL;3 étoiles;-;-;HÔTEL IBIS MAUBEUGE;Avenue de la gare;59600;MAUBEUGE;327572133;H6551@accor.com;http://www.accorhotels.com/fr/hotel-6551-ibis-maubeuge/index.shtml;-;203;90;-;-;-
42463;42463;HÔTEL;3 étoiles;-;-;BEST WESTERN ATELIER 117;117 AVENUE JEAN JAURÈS;59600;MAUBEUGE;327621500;bestwestern@latelier117.com;http://www.latelier117.com/;-;84;42;-;-;-
41479;41479;CAMPING;2 étoiles;Loisirs;-;LES AVALLÉES;18 rue du faubourg;59600;VILLERS-SIRE-NICOLE;327679256;loisirs-les-avallees@wanadoo.fr;http://loisirs-les-avallees.fr;-;-;-;110;-;-
40962;40967;HÔTEL;3 étoiles;-;-;CAMPANILE MAUBEUGE;AVENUE JEAN JAURES - RN 49;59600;MAUBEUGE;327640091;maubeuge@campanile.fr;http://www.campanile-maubeuge.fr/fr/index.aspx;-;78;39;-;-;-
40833;40871;HÔTEL;3 étoiles;-;-;LA TOUR DES LYS;89 ROUTE DE MONS;59600;MAIRIEUX;327608540;hotellatourdeslys@orange.fr;http://www.restaurantles3entetes.fr/l-hotel-la-tour-des-lys/annonces-l-hotel-la-tour-des-lys-1?menuNb=2;-;28;14;-;-;-
41198;41198;PARC RÉSIDENTIEL DE LOISIRS;2 étoiles;-;-;LES CHALETS DE LA FLAMINETTE;44 rue laurent niogret;59570;HON-HERGIES;327676123;leschaletsdelaflaminette@wanadoo.fr;www.leschaletsdelaflaminette.fr;-;-;-;10;-;-
41190;41190;CAMPING;3 étoiles;Loisirs;-; CAMPING LES NÉNUPHARS;10 RUE GILLES BEAURIEUX;59570;TAISNIÈRES-SUR-HON;327394093;campinglesnenuphars@orange.fr;www.campinglesnenuphars.com;-;-;-;23;-;-
41110;41110;CAMPING;1 étoile;Loisirs;-;CAMPING LES CHARMES;1 rue de Meaurain;59570;BETTRECHIES;327631615;etapedelapierrebleue@laposte.net;http://www.etapedelapierrebleue.fr;-;-;-;51;-;-
41736;41736;HÔTEL;2 étoiles;-;-;HÔTEL B&B DOUAI CUINCY;Rue Antoine Blondel;59553;CUINCY;892788039;bb_4407@hotelbb.com;www.hotelbb.com;-;144;72;-;-;-
40914;40914;HÔTEL;3 étoiles;-;-;HOTEL RESTAURANT CAMPANILE;RUE MAXIMILIEN ROBESPIERRE;59553;CUINCY;327969700;douai.cuincy@campanile.fr;http://campanile.com;-;100;50;-;-;-
41577;41577;CAMPING;1 étoile;Loisirs;-;L'AUBERGE DU MOULIN DES PRÉS;le moulin des prés;59550;MAROILLES;649676705;ludovic.wojnarowski@laposte.net;www.lemoulindespres.fr;-;-;-;65;-;-
42053;42053;HÔTEL;2 étoiles;-;-;HÔTEL'N;1 boulevard du 8 mai 1945;59540;CAUDRY;327765800;f-w2009@live.fr;-;-;84;42;-;-;-
41018;41026;HÔTEL;3 étoiles;-;-;HÔTEL AKENA;BD DU 8 MAI 1945 ZONE COMMERCIALE NEYRIER;59540;CAUDRY;327829141;caudry59@hotels-akena.com;http://hotels-akena.com;-;113;49;-;-;-
40990;40990;HÔTEL;4 étoiles;-;-;ALTIA HOTEL;3 RUE DU VERTUQET;59535;NEUVILLE EN FERRAIN;320288800;els.delaere@altia-hotel.com;http://www.altia-hotel.com;-;1000;108;-;-;-
42303;42303;CAMPING;3 étoiles;Loisirs;-;CAMPING DU LAC VAUBAN;CHEMIN DE GHISSIGNIES;59530;LE QUESNOY;327491007;camping-du-lac-vauban@wanadoo.fr;http://www.lequesnoyvilleforte.fr/tourisme/camping;-;-;-;173;-;-
41779;41779;CAMPING;1 étoile;Loisirs;-;DOMAINE DE MORMAL;22 rue du franc à louer;59530;VILLEREAU;327418868;f.dupont@vld-mormal.com;www.vld-mormal.com;-;-;-;77;-;-
41197;41197;CAMPING;4 étoiles;Loisirs;-;CAMPING LE PRÉ VERT;chemin du moulin;59530;POTELLE;327490947;camping.le.pre.vert@orange.fr;http://camping.le.pre.vert-orange.fr.over-blog.com/;-;-;-;59;-;-
41102;41102;CAMPING;2 étoiles;Loisirs;-;CAMPING AU MOULIN DE FRASNOY;5 ROUTE DE VILLERS POL;59530;FRASNOY;327494330;contact@camping-de-frasnoy.fr;http://camping-de-frasnoy.fr;-;-;-;94;-;-
41148;41148;HÔTEL;3 étoiles;-;-;CAMPANILE LILLE HEM;avenue Henri Delecroix;59510;HEM;320750037;manager.lille.hem@campanile.fr;http://campanile.fr;-;98;49;-;-;-
42216;42216;HÔTEL;3 étoiles;-;-;HÔTEL LE GRAND CERF;16 rue saint JEAN;59500;DOUAI;327887960;hotellegrandcerf@orange.fr;http://www.hotel-legrandcerf-douai.fr/;-;50;25;-;-;-
41317;41317;HÔTEL;3 étoiles;-;-;VOLUBILIS;Boulevard Vauban;59500;DOUAI;327880011;contact@hotel-volubilis.fr;www.hotel-volubilis.fr;-;110;55;-;-;-
41113;41113;HÔTEL;3 étoiles;-;-;LA TERRASSE;36 terrasse saint-pierre ;59500;DOUAI;327887004;contact@laterrasse.fr;www.laterrasse.fr;-;35;21;-;-;-
40892;40892;HÔTEL;3 étoiles;-;-;IBIS DOUAI CENTRE;PLACE SAINT AME;59500;DOUAI;327872727;h0956-gm@accor.com;http://www.ibishotel.com;-;84;42;-;-;-
40829;40855;HÔTEL;2 étoiles;-;-;LE GAYANT;20 PLACE PIERRE BROSSOLETTE;59500;DOUAI;327882997;contact@legayant-hotel.fr;http://www.legayant-hotel.fr;-;135;45;-;-;-
41487;41487;CAMPING;3 étoiles;Loisirs;-;MER ET VACANCES;Rue Jean Baptiste CHARCOT;59495;LEFFRINCKOUCKE;328201732;jf.maes@flandria-loisirs.com;www.camping-mer-et-vacances.com;-;-;-;110;-;-
41673;41673;HÔTEL;2 étoiles;-;-;IBIS BUDGET VALENCIENNES PETITE FORÊT;RUE GAY LUSSAC;59494;PETITE-FORÊT;327295555;h8479@accor.com;http://www.ibisbudget.com;-;211;96;-;-;-
41236;41236;HÔTEL;1 étoile;-;-;HÔTEL PREMIÈRE CLASSE VALENCIENNES OUEST PETITE-FORÊT;zone d'activité commerciale auchan, RUE GAY LUSSAC;59494;PETITE-FORÊT;327330606;valenciennes.petiteforet@premiereclasse.fr;-;-;184;75;-;-;-
41101;41101;HÔTEL;3 étoiles;-;-;HOSTELLERIE DU CHÂTEAU D'AUBRY;65 RUE HENRI MAURICE;59494;AUBRY-DU-HAINAUT;327218888;chateau.aubry@wanadoo.fr;http://www.chateau-aubry.com;-;35;17;-;-;-
40861;40871;HÔTEL;3 étoiles;-;-;HOTEL RESTAURANT CAMPANILE;ZAC AUCHAN RUE LOUIS JOSEPH GAY LUSSAC;59494;PETITE-FORÊT;327478787;valenciennes.petiteforet@campanile.fr;http://www.campanile.fr;-;292;53;-;-;-
42550;42550;HÔTEL;3 étoiles;-;-;HOSTELLERIE SAINT-LOUIS;47 rue de l'église;59470;BOLLEZEELE;328688183;stephanie.fasquel@orange.fr;http://www.hostelleriesaintlouis.com;-;49;26;-;-;-
41792;41792;CAMPING;2 étoiles;Loisirs;-;CAMPING SAINT ANTOINE;849 chemin des Cinq Rues;59470;BOLLEZEELE;03.28.68.08.92;alexandra.aube@free.fr;http://campingbollezeele.free.fr/;-;-;-;44;-;-
41577;41577;CAMPING;2 étoiles;Loisirs;-;DOMAINE DES CHÊNES;Route de Winnezeele;59470;HOUTKERQUE;321930438;vert.manoir@hotmail.com;-;-;-;-;24;-;-
41352;41352;CAMPING;2 étoiles;Loisirs;-;CAMPING LES CENT FLEURS;960 route de Cassel;59470;MERCKEGHEM;328680305;paccou.annechantal@wanadoo.fr;-;-;-;-;36;-;-
41155;41155;CAMPING;3 étoiles;Loisirs;-;DOMAINE DU GROENE VELD ;6 bis voie romaine;59470;ZEGERSCAPPEL;328689340;campinglegroeneveld@wanadoo.fr;www.camping-legroeneveld.fr;-;-;-;84;-;-
41109;41109;CAMPING;2 étoiles;Tourisme;-;CAMPING DES ROSES;2 CHEMIN DU HéRON;59470;ESQUELBECQ;328629009;baudensportra@orange.fr;http://www.fermeheegernest.fr;-;-;-;37;-;-
42653;42653;CAMPING;2 étoiles;Loisirs;-;CAMPING AU BOL D'AIR;16 RUE DE FLAUMONT;59440;SÉMERIES;327590554;campingauboldair@orange.fr;http://www.camping-auboldair.fr/;-;-;-;120;-;-
41270;41270;CAMPING;1 étoile;Loisirs;-;LA FONTAINE DE L'ERMITAGE;LIEU DIT L'ERMITAGE;59440;SAINT-HILAIRE-SUR-HELPE;327578488;bbgd59@hotmail.fr;-;-;-;-;50;-;-
41239;41239;HÔTEL;2 étoiles;-;-;HÔTEL LES PATURELLES;40 route d'etroeungt, Avesnelles;59440;AVESNES-SUR-HELPE;327612222;lapentiere@cegetel.net;http://WWW.hotelpaturelles.com;-;57;25;-;-;-
41227;41227;HÔTEL;1 étoile;-;-;HÔTEL PREMIÈRE CLASSE DUNKERQUE SAINT-POL-SUR-MER;14 RUE ANTOINE LAVOISIER;59430;SAINT-POL-SUR-MER;328616314;dunkerque.stpol@premiereclasse.fr;http://www.premiereclasse.fr;-;207;70;-;-;-
40969;40980;HÔTEL;1 étoile;-;-;HOTELF1 DUNKERQUE CENTRE SAINT POL SUR MER;4 RUE FRANCOIS ARAGO;59430;SAINT POL SUR MER;891705240;h2241-re@accor.com;http://www.hotelf1.com;-;168;64;-;-;-
41792;41792;CAMPING;3 étoiles;Tourisme;-;CAMPING MUNICIPAL LES TROIS CLOCHERS;77 rue Jean Goude;59400;CAMBRAI;03 27 70 91 64;camping@mairie-cambrai.fr;-;-;-;-;50;-;-
41240;41240;HÔTEL;3 étoiles;-;-;LE MOUTON BLANC;33 RUE ALSACE LORRAINE;59400;CAMBRAI;327813016;RESAMOUTON@ORANGE.FR;-;-;360;30;-;-;-
41183;41183;HÔTEL;3 étoiles;-;-;CHÂTEAU DE LA MOTTE FENELON;SQUARE DU CHâTEAU;59400;CAMBRAI;327836138;contact@cambrai-chateau-motte-fenelon.com;http://cambrai-chateau-motte-fenelon.com;-;79;37;-;-;-
41141;41141;HÔTEL;2 étoiles;-;-;TABL'HÔTEL;route de bapaume;59400;FONTAINE-NOTRE-DAME;03.27.81.81.41;tablhotel@wandoo.fr;http://www.tabl-hotel-fontaine-notre-dame.federal-hotel.com/;-;96;41;-;-;-
41102;41102;HÔTEL;3 étoiles;-;-;HÔTEL BEATUS;718 avenue de paris;59400;CAMBRAI;327814570;hotel.beatus@wanadoo.fr;www.beatus-cambrai.com;-;64;31;-;-;-
41018;41018;HÔTEL;1 étoile;-;-;HÔTEL F1 CAMBRAI;ROUTE DE BAPAUME;59400;FONTAINE-NOTRE-DAME;322910094;crghotels@aol.com;http://www.accorhotels.com;-;192;64;-;-;-
40969;40980;HÔTEL;3 étoiles;-;-;IBIS CAMBRAI;ROUTE DE BAPAUME;59400;FONTAINE-NOTRE-DAME;322910094;CRGHOTELS@AOL.COM;-;-;201;52;-;-;-
40948;40948;HÔTEL;3 étoiles;-;-;L'HÔTEL DE FRANCE;37 rue de Lille;59400;CAMBRAI;327813880;la-canardiere@wanadoo.fr;http://hoteldefrance-cambrai.fr;-;30;12;-;-;-
42270;42270;HÔTEL;3 étoiles;-;-;QUALITY HÔTEL DUNKERQUE;2 rue du lac;59380;ARMBOUTS-CAPPEL;+33(0)328607060;contact@qualityhoteldunkerque.com;www.qualityhoteldunkerque.com;-;130;64;-;-;-
41704;41704;PARC RÉSIDENTIEL DE LOISIRS;3 étoiles;-;-;LES RÉSIDENCES LA BECQUE;791 rue de l'EST;59380;WARHEM;328620040;sarl-rlb@orange.fr;http://www.residences-la-becque.com/;-;-;-;157;-;-
41428;41428;CAMPING;2 étoiles;Loisirs;-;CAMPING VAUBAN ;Boulevard Vauban;59380;BERGUES;628776694;annie.blary@orange.fr;campingvauban.free.fr;-;-;-;76;-;-
41407;41407;HÔTEL;3 étoiles;-;-;AU TONNELIER;2-4 rue du mont de piété;59380;BERGUES;328687005;contact@autonnelier.com;www.autonnelier.com;-;83;40;-;-;-
41198;41198;PARC RÉSIDENTIEL DE LOISIRS;3 étoiles;-;-;LE VERT VILLAGE;17 Voie Romaine ;59380;CROCHTE;328621396;le.vert.village@wanadoo.fr;www.levertvillage.com;-;-;-;35;-;-
41159;41159;CAMPING;3 étoiles;Loisirs;-;CAMPING DU BOIS DES FORTS;chemin départemental 72;59380;COUDEKERQUE;328610441;berna.frappe@gmail.com;http://www.tourisme-nordpasdecalais.fr/campings/camping-du-bois-des-forts.html;-;-;-;130;-;-
41060;41521;HÔTEL;3 étoiles;-;-;MOTEL 25;2 route de Crochte;59380;SOCX;328687900;motel25@wanadoo.fr;http://www.motel25.fr;-;90;41;-;-;-
40924;40924;HÔTEL;3 étoiles;-;-;HÔTEL CAMPANILE;1 TER RUE DU LAC;59380;ARMBOUTS-CAPPEL;328646470;manager.dunkerque.armboutscappel@campanile.fr;http://www.campanile.fr;-;78;39;-;-;-
41128;41128;HÔTEL;3 étoiles;-;-;COMFORT HOTEL LILLE MONS-EN-BAROEUL;56 avenue Léon Blum;59370;MONS-EN-BAROEUL;320333933;contact@comforthotel-lille.com;www.comforthotel-lille.com;-;96;47;-;-;-
40987;40990;HÔTEL;2 étoiles;-;-;HOSTELLERIE DU MARCHÉ ;45 rue de Landrecies;59360;LE CATEAU- CAMBRÉSIS;327840932;resahostellerie@voila.fr;http://www.hostelleriedumarche.com;-;25;9;-;-;-
