"DATE.DE.CLASSEMENT","DATE.DE.PUBLICATION.DE.L.ETABLISSEMENT","TYPOLOGIE.ÉTABLISSEMENT","CLASSEMENT","CATÉGORIE","MENTION","NOM.COMMERCIAL","ADRESSE","CODE.POSTAL","COMMUNE","TÉLÉPHONE","COURRIEL","SITE.INTERNET","TYPE.DE.SÉJOUR","CAPACITÉ.D.ACCUEIL..PERSONNES.","NOMBRE.DE.CHAMBRES","NOMBRE.D.EMPLACEMENTS","NOMBRE.D.UNITES.D.HABITATION","NOMBRE.DE.LOGEMENTS","X","NOT_LUXE","FLAG_ENSEIGNE","NOM_ENSEIGNE"
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","HÔTEL LE COTTAGE","390 ROUTE DU PORT",74290,"TALLOIRES","0450607110","cottagebise@wanadoo.fr","http://www.cottagebise.com","-","72",36,,,,"",FALSE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL IBIS RENNES CENTRE GARE SUD","15 RUE DE CHâTILLON",35000,"RENNES","0223360136","H3450-GM@accor.com","http://www.ibishotel.com","-","218",90,,,,"",TRUE,TRUE,"IBIS"
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","MOTEL SAVINIEN","87 RUE JEAN DE LA FONTAINE",10300,"SAINTE-SAVINE","0325792490","motel.savinien@orange.fr","http://www.motelsavinien.com","-","89",44,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL DES CÉLESTINS","4 RUE DES ARCHERS",69002,"LYON","0472560898","info@hotelcelestins.com","http://www.hotelcelestins.com","-","56",24,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL L'ANCOLIE","avenue de l'église",38750,"HUEZ","0476111313","info@hotel-alpes-huez.com","http://www.ancolie-hotel.com","-","32",16,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","RADISSON BLU HOTEL AT DISNEYLAND PARIS","40 allée de la mare houleuse",77700,"MAGNY-LE-HONGRE","0160436400","reservations.golfresort.paris@radissonblu.com","http://www.radissonblu.fr/golfresort-paris","-","870",250,,,,"",FALSE,TRUE,"RADISSON"
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL EIFFEL SAINT CHARLES","37 RUE SAINT-CHARLES",75015,"PARIS","0145796415","hotel@eiffelsaintcharles.com","http://www.eiffelsaintcharles.com","-","68",33,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL IBIS STRASBOURG AÉROPORT LE ZÉNITH","2 rue du Maréchal Foch",67380,"LINGOLSHEIM","0388771818","h1588@accor.com","http://www.ibishotel.com","-","165",81,,,,"",TRUE,TRUE,"IBIS"
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","HÔTEL MERCURE MULHOUSE CENTRE","4 PLACE DU Général DE GAULLE",68100,"MULHOUSE","0389362939","gilles.geudin@accor.com","http://www.mercure.com","-","184",92,,,,"",FALSE,TRUE,"MERCURE"
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","HÔTEL LA PYRAMIDE RELAIS & CHÂTEAUX","14 BOULEVARD FERNAND POINT",38200,"VIENNE","0474530196","pyramide@relaischateaux.com","http://www.lapyramide.com","-","54",23,,,,"",FALSE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","IBIS BUDGET BORDEAUX CENTRE BASTIDE","26 allée Serr",33100,"BORDEAUX","0892700261","H6312-RE@accor.com","http://www.ibis.com/fr/france/index.shtml","-","251",89,,,,"",TRUE,TRUE,"IBIS"
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL SAINT-GERMAIN-DES-PRÉS","36 RUE BONAPARTE",75006,"PARIS","0143260019","eric_desfaudais@hotmail.com","http://hotel-paris-saint-germain.com","-","62",30,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","GRAND HÔTEL MONTESPAN TALLEYRAND","2-4 PLACE DES THERMES",3160,"BOURBON-L'ARCHAMBAULT","0470670024","hotelmontespan@wanadoo.fr","http://www.hotel-montespan.com","-","90",39,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","GRAND HÔTEL DE L'UNIVERS","6 RUE GRéGOIRE DE TOURS",75006,"PARIS","0143293700","eric_desfaudais@hotmail.com","http://hotel-paris-univers.com","-","66",33,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL DE LA LOGE","1 RUE FABRIQUéS D'EN NABOT",66000,"PERPIGNAN","0468344102","hoteldelaloge@wanadoo.fr","http://hoteldelaloge.fr","-","46",22,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL RESTAURANT L'HUÎTRIÈRE ","rue de la Saane, la plage",76860,"QUIBERVILLE","0235830296","huitriere.quiberville@wanadoo.fr","http://www.hebergementdieppe.fr/","-","29",12,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","4 étoiles","-","-","CLARION HOTEL CHÂTEAU BELMONT","57 RUE GROISON",37100,"TOURS","0247466500","acceuil@chateaubelmont.com","http://www.chateaubelmont.com","-","42",21,,,,"",FALSE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","5 étoiles","-","-","L'ESTELLE EN CAMARGUE","ROUTE DU PETIT RHôNE",13460,"SAINTES-MARIES-DE-LA-MER","0490978901","reception@hotelestelle.com","www.hotelestelle.com","-","54",20,,,,"",FALSE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL LE VÉTINÉ","4 les Hautes Navières",88230,"LE VALTIN","0329609944","contact@vetine.com","http://www.vetine.com","-","96",34,,,,"",TRUE,FALSE,
"10/10/2016","10/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL LA PALUNETTE","ROUTE D'ARLES",13460,"SAINTES-MARIES-DE-LA-MER","0490978630","lapalunette@gmail.com","http://WWW.PALUNETTE.FR","-","24",12,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL BEAU SOLEIL","6 IMPASSE BEAU SOLEIL",6220,"VALLAURIS","0493636363","contact@hotel-beau-soleil.com","http://www.hotel-beau-soleil.com","-","66",30,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","LE MAS DES GRÈS","1651, RD 901, Four à Chaux, Isle sur la Sorgue",84800,"LAGNES","0490203285","info@masdesgres.com","http://www.masdesgres.com","-","39",14,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL RESTAURANT LE LASSUS","14 place Pierre Patau",66210,"BOLQUÈRE","0468300975","hotel-lassus@orange.fr","http://www.hotel-lassus.com","-","36",14,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","4 étoiles","-","-","BEST WESTERN PREMIER LOUVRE SAINT HONORÉ","141 rue Saint Honoré",75001,"PARIS","0142962323","louvresainthonore@bookinnfrance.com","http://www.paris-hotel-louvresainthonore.com","-","79",37,,,,"",FALSE,TRUE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL VILLA LAMARTINE","28 rue de Lamartine",33120,"ARCACHON","0556839577","hotel.lamartine@gmail.com","www.hotel-bassindarcachon.com","-","48",24,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL KYRIAD FRÉJUS PORT SAINT-RAPHAËL","990 avenue du 8 mai 1945",83600,"FRÉJUS","0494528989","kyriadfrejus@gmail.com","http://www.kyriad.fr","-","110",55,,,,"",TRUE,TRUE,"KYRIAD"
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL LA FERME DU PÈRE FRANÇOIS","214 rue Pasteur",39220,"LES ROUSSES","0384603462","contact@perefrancois.fr","http://www.perefrancois.fr","-","19",7,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL RESTAURANT LES ASTÉRIES","1 place des Forces Françaises Libres",56270,"PLOEMEUR","0297862197","contact@hotel-lesasteries.com","http://www.hotel-lesasteries.com","-","72",36,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","LA BRÈCHE DE ROLAND","VILLAGE",65120,"GÈDRE","0562924854","hotel-la-breche@gavarnie.com","http://www.gavarnie-hotel.com/fr/","-","53",25,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","4 étoiles","-","-","MANOIR DE LA ROSERAIE","1 chemin des grands prés",26230,"GRIGNAN","0475465815","roseraie.hotel@orange.fr","http://www.manoirdelaroseraie.com/","-","50",21,,,,"",FALSE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL L'AIGUILLE NOIRE","ROUTE DES VILLARDS",73450,"VALLOIRE","0479590174","info@hotel-aiguille-noire.com","http://www.hotel-aiguille-noire.com","-","42",17,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","4 étoiles","-","-","HÔTEL ARES EIFFEL","7 rue du Général de Larminat",75015,"PARIS","0147347404","direction@areseiffel.fr","http://ares-paris-hotel.com/fr/","-","98",40,,,,"",FALSE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","4 étoiles","-","-","GRAND HÔTEL LES FLAMANTS ROSES","1 voie des flamants roses",66140,"CANET-EN-ROUSSILLON","0468516060","contact@hotel-flamants-roses.com","http://www.hotel-flamants-roses.com","-","152",63,,,,"",FALSE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","4 étoiles","-","-","HÔTEL LE MAS D'HUSTON","RUE JOUY D'ARNAUD",66750,"SAINT-CYPRIEN","0468376363","contact@hotel-mas-huston.com","http://www.hotel-mas-huston.com","-","96",48,,,,"",FALSE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","5 étoiles","-","-","VILLA MARIE SAINT-TROPEZ","1100 CHEMIN VAL DE RIAN  ",83350,"RAMATUELLE","0494974022","smorel@mhsibuet.com","http://www.villamarie.fr","-","91",45,,,,"",FALSE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL DE LA POSTE","Rue des Grandes Alpes",73450,"VALLOIRE","0479590347","hotelde.laposte@orange.fr","http://hoteldelaposte.net","-","62",26,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL LE NAGANO","333 RUE DU CENTRE",74260,"LES GETS","0450707146","info@hotel-nagano.com","http://www.hotel-nagano.com","-","96",25,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","AU COEUR DE MEGÈVE","44 AVENUE CHARLES FEIGE",74120,"MEGÈVE","0450212530","info@hotel-megeve.com","http://www.hotel-megeve.com/","-","96",36,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL EDGAR QUINET","17 BOULEVARD EDGAR QUINET",75014,"PARIS","0143206315","info@edgarquinethotel.com","http://www.edgarquinethotel.com/fr/hotel.html","-","29",17,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL LA MAISON DU LAC","LES CLAYEUX",3220,"THIONNE","0470347423","resa@hotel-maisondulac.com","http://www.hotel-maisondulac.com","-","19",7,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL AXEL OPÉRA","15 rue de Montyon",75009,"PARIS","0147709270","axelopera@my-paris-hotel.com","http://www.hotel-paris-axel.com","-","79",40,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","4 étoiles","-","-","MERCURE LYON CENTRE BROTTEAUX","112-114 BOULEVARD DES BELGES",69006,"LYON","0478244468","H7236@accor.com","http://www.mercure.com/7236","-","105",59,,,,"",FALSE,TRUE,"MERCURE"
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL DU BAC","19 rue du bac",29120,"COMBRIT","0298513333","contact@hoteldubac.fr","http://www.hoteldubac.fr","-","22",11,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","BEST WESTERN THE HOTEL VERSAILLES","Avenue Morane Saulnier",78530,"BUC","0139564811","direction@thehotel-versailles.fr","http://www.thehotel-versailles.fr/","-","97",47,,,,"",TRUE,TRUE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","INTER HÔTEL LE GARDEN","2 MAIL DE LA PAPOTERIE",37170,"CHAMBRAY-LÈS-TOURS","0247481717","contact@legardenhotel.com","http://www.legardenhotel.com/","-","106",50,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL IBIS STYLES PARIS LAFAYETTE OPÉRA","5 rue de trévise",75009,"PARIS","0142461206","h6950@accor.com","http://www.ibis.com/fr/hotel-6950-ibis-styles-paris-lafayette-opera/index.shtml","-","82",42,,,,"",TRUE,TRUE,"IBIS"
"09/10/2016","09/10/2016","HÔTEL","4 étoiles","-","-","HÔTEL LES JARDINS DU MESS","22 Quai de la République",55100,"VERDUN","0329801418","contact@lesjardinsdumess.fr","http://www.lesjardinsdumess.fr/","-","80",40,,,,"",FALSE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL LE YACHTMAN","VIEUX PORT CENTRE, 23 quai Valin",17000,"LA ROCHELLE","0546412068","contact@leyachtman.com","http://www.leyachtman.com","-","96",46,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","2 étoiles","-","-","LE RELAIS DU GALIBIER","Lieu-Dit LES VERNEYS",73450,"VALLOIRE","0479590045","info@relais-galibier.com","http://www.relais-galibier.com","-","61",26,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","BRIT HÔTEL NANTES LA BEAUJOIRE - L'AMANDINE","45 boulevard des Batignolles",44300,"NANTES","0240500707","direction.amandine@brithotel.fr","http://hotel-nantes-beaujoire.brithotel.fr/","-","120",63,,,,"",TRUE,TRUE,"BRIT"
"09/10/2016","09/10/2016","HÔTEL","4 étoiles","-","-","HÔTEL L'ARBOISIE","483 ROUTE DU GOLLET",74120,"MEGÈVE","04.50.55.35.90","reservation@arboisie-hotel.com","http://www.arboisie-megeve.com/","-","207",68,,,,"",FALSE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","4 étoiles","-","-","HÔTEL KYRIAD PRESTIGE BOULOGNE-BILLANCOURT","20-22 rue des abondances",92100,"BOULOGNE-BILLANCOURT","0148258080","boulogne@kyriadprestige.fr ","http://kyriad-prestige-paris-ouest-boulogne.fr","-","150",75,,,,"",FALSE,TRUE,"KYRIAD"
"09/10/2016","09/10/2016","HÔTEL","4 étoiles","-","-","HÔTEL VICTOIRE ET GERMAIN","9 rue Grégoire de Tours",75006,"PARIS","0145490326","reservation@victoireetgermainhotel.com","http://www.victoireetgermainhotel.com/","-","36",17,,,,"",FALSE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL HABITATION DU COMTÉ","COMTE DE LOEHAC",97115,"SAINTE-ROSE","0590325868","contact@habitationducomte.com","http://www.hotelducomte.com","-","22",9,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL DEVILLAS","4 BOULEVARD SAINT-MARCEL",75005,"PARIS","0143313750","info@hoteldevillas.com","http://www.hoteldevillas.com","-","83",40,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL B&B METZ EST","ZAC DE MERCY, RUE DU JARDIN D'ÉCOSSE",57530,"ARS-LAQUENEXY","03.54.60.03.91","bb_4592@hotelbb.com","http://www.hotel-bb.com/fr/home.htm","-","152",72,,,,"",TRUE,TRUE,"B&B"
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","HÔTEL LES PYRÉNÉES","2 route de Pau",64320,"OUSSE","0559817151","infos@hotellespyrenees.fr","http://www.hotellespyrenees.fr","-","46",20,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","2 étoiles","-","-","HÔTEL DU CENTRE","route des Grandes Alpes",73450,"VALLOIRE","0479590083","hotel.lecentre@libertysurf.fr","http://hotelducentre.fr","-","61",21,,,,"",TRUE,FALSE,
"09/10/2016","09/10/2016","HÔTEL","3 étoiles","-","-","CHÂTEAU DE LA MARLIÈRE","62-64 rue Théophile Legrand",59610,"FOURMIES","0327588800","infos@chateaudelamarliere.com","www.chateaudelamarliere.com","-","18",9,,,,"",TRUE,FALSE,
